state_number,crop_name,RMS_RandomForest,RandomForest,RMS_LinearRegression,LinearRegression
96,RiceYD,470.3099611,2360.1905,510.2146912,2286.702731
96,WheatYD,1408.626641,199.6666667,1688.665154,-586.8324777
96,KharifSorghumYD,0,0,0,0
96,RabiSorghumYD,0,0,0,0
96,PEARL_MILLET_YIELD,0,0,0,0
96,MAIZE_YIELD,1466.959716,940,884.2891818,2186.164412
96,FINGER_MILLET_YIELD,263.8509528,739.2224,182.7432936,663.7742862
96,BARLEY YIELD,0,0,0,0
96,CHICKPEA_YIELD,182.602442,978.3839,319.6808333,752.4011309
96,PIGEONPEA_YIELD,206.7435254,583.5549,473.9462971,1031.769039
96,MINOR PULSES AREA (1000 ha),1.522927322,11.6476,1.079842614,11.17983248
96,MINOR_PULSES_PRODUCTION,0.818306905,7.3089,1.208504221,7.87964045
96,MINOR_PULSES_YIELD,58.29620652,594.5032,81.03660824,745.4256339
96,GROUNDNUT_YIELD,404.730824,1305.15,456.456123,2462.802964
96,SESAMUM_YIELD,233.5624931,314.4736,228.1976546,296.1170859
96,RAPESEEDandMUSTARD_YIELD,308.6289272,0,326.2498053,-18.91983879
96,SAFFLOWER_YIELD,0,0,0,0
96,CASTOR_YIELD,0,0,0,0
96,LINSEED_YIELD,0,0,0,0
96,SUNFLOWER_YIELD,419.8377726,72.00036,424.8895329,66.667
96,SOYABEAN_YIELD,0,0,0,0
96,OILSEEDS_YIELD,353.9839403,434.8806,383.2110206,421.940473
96,SUGARCANE_YIELD,0,0,0,0
96,COTTON_YIELD,0,0,0,0
96,FRUITS_AREA,4.550000036,1.064565833,5.241828415,6.45199332
96,VEGETABLES_AREA,0.900697915,0.200518333,3.434220309,5.82154435
96,FRUITSandVEGETABLES_AREA,5.49455315,1.2047475,6.873681854,8.11449081
96,POTATOES_AREA ,0,0,0,0
96,ONION_AREA,0,0,0,0
96,FODDER_AREA,0,0,0,0
97,RiceYD,249.5623834,2582.7804,308.5500827,2534.566797
97,WheatYD,577.3502692,0,577.3502692,0
97,KharifSorghumYD,0,0,0,0
97,RabiSorghumYD,0,0,0,0
97,PEARL_MILLET_YIELD,0,0,0,0
97,MAIZE_YIELD,1617,1617,1443.289994,1443.289994
97,FINGER_MILLET_YIELD,100.1616838,845.8276,121.7620564,914.8936924
97,BARLEY YIELD,0,0,0,0
97,CHICKPEA_YIELD,422.093213,401.9665,940.1276648,-701.4445521
97,PIGEONPEA_YIELD,214.1057777,559.6882,436.1261419,1058.480369
97,MINOR PULSES AREA (1000 ha),4.770065171,10.4602,4.778291695,11.00681663
97,MINOR_PULSES_PRODUCTION,4.613628759,4.4451,7.732270856,-0.24662113
97,MINOR_PULSES_YIELD,188.2583227,570.9337,452.6586661,749.4437049
97,GROUNDNUT_YIELD,779.7039075,2515.6663,2670.189143,5310.840425
97,SESAMUM_YIELD,258.6730894,75.9092,325.1930312,-93.69962962
97,RAPESEEDandMUSTARD_YIELD,173.7804671,36.8888,158.836852,87.90910886
97,SAFFLOWER_YIELD,0,0,0,0
97,CASTOR_YIELD,0,0,0,0
97,LINSEED_YIELD,0,0,0,0
97,SUNFLOWER_YIELD,0,0,0,0
97,SOYABEAN_YIELD,0,0,0,0
97,OILSEEDS_YIELD,683.5294516,1443.3385,2236.234704,-1254.579321
97,SUGARCANE_YIELD,0,0,0,0
97,COTTON_YIELD,0,0,0,0
97,FRUITS_AREA,6.39060308,4.4694175,5.701873295,5.57266158
97,VEGETABLES_AREA,0.465342982,0.06956,4.108534327,-7.02408396
97,FRUITSandVEGETABLES_AREA,6.701017854,1.534030833,6.899044257,7.20915007
97,POTATOES_AREA ,0,0,0,0
97,ONION_AREA,0.025939178,0.022857302,0.134774539,0.23025868
97,FODDER_AREA,0,0,0,0
98,RiceYD,342.348523,3083.5807,411.3222979,3370.190738
98,WheatYD,0,0,0,0
98,KharifSorghumYD,0,0,0,0
98,RabiSorghumYD,0,0,0,0
98,PEARL_MILLET_YIELD,0,0,0,0
98,MAIZE_YIELD,1821.839993,2358,2686.888446,4191.409698
98,FINGER_MILLET_YIELD,141.0298589,1372.1725,137.1841894,1332.177721
98,BARLEY YIELD,0,0,0,0
98,CHICKPEA_YIELD,288.6751346,0,288.6751346,0
98,PIGEONPEA_YIELD,458.4741639,849.0943,790.222712,1306.182606
98,MINOR PULSES AREA (1000 ha),3.517931731,10.819,22.25220005,31.62122685
98,MINOR_PULSES_PRODUCTION,1.35040946,6.1894,3.609638881,9.31058667
98,MINOR_PULSES_YIELD,31.76448503,686.7216,28.9595178,688.5985826
98,GROUNDNUT_YIELD,243.7418283,1625.5591,232.2179771,1624.246612
98,SESAMUM_YIELD,206.5451185,59.1665,494.4529503,-240.0144257
98,RAPESEEDandMUSTARD_YIELD,419.5380745,301.5,449.1957816,234.5678758
98,SAFFLOWER_YIELD,0,0,0,0
98,CASTOR_YIELD,216.5063509,0,216.5063509,0
