Dist Code,Year,State Code,State Name,Dist Name,JANUARY WATER DEFICIT (Millimeters),FEBRUARY WATER DEFICIT (Millimeters),MARCH WATER DEFICIT (Millimeters),APRIL WATER DEFICIT (Millimeters),MAY WATER DEFICIT (Millimeters),JUNE WATER DEFICIT (Millimeters),JULY WATER DEFICIT (Millimeters),AUGUST WATER DEFICIT (Millimeters),OCTOBER WATER DEFICIT (Millimeters),NOVEMBER WATER DEFICIT (Millimeters),DECEMBER WATER DEFICIT (Millimeters)
96,1958,7,Maharashtra,Thane,93.47,110.47,150.47,169.57,133.86,0,0,0,0,28.97,58.79
96,1959,7,Maharashtra,Thane,98.41,116.27,164.02,180.22,165.21,0,0,0,0,0,37.03
96,1960,7,Maharashtra,Thane,94.08,115.54,169.11,184.45,109.19,0.01,0,0,0,0.99,42.75
96,1961,7,Maharashtra,Thane,98,112.39,164.46,171.9,102.73,0,0,0,0,0,39.89
96,1962,7,Maharashtra,Thane,85.27,109.66,143.83,152.65,99.02,0.82,0,0,0,33.22,58.14
96,1963,7,Maharashtra,Thane,98.14,114.93,163.88,175.41,194.31,0,0,0,0,21.15,48.46
96,1964,7,Maharashtra,Thane,0,0,0.35,0.66,15.49,388,1231.71,760.62,350.28,143.97,6.5
96,1965,7,Maharashtra,Thane,1.07,0.01,0.58,18.39,4.49,591.36,1497.99,1022.12,106.39,1.94,7.09
96,1966,7,Maharashtra,Thane,0.81,0,0,0.49,41.54,398.28,1232.05,301.98,325.14,16.1,7.97
96,1967,7,Maharashtra,Thane,0,0.05,0.55,5.29,1.9,477.65,1683.42,474.18,287.4,48.83,0.07
96,1968,7,Maharashtra,Thane,0.08,0.05,2.75,5.47,0.08,134.82,1290.23,619.45,266.95,103.67,2.7
96,1969,7,Maharashtra,Thane,92.28,109,161.53,179.98,204.87,0,0,0,0,44.97,67.06
96,1970,7,Maharashtra,Thane,95.44,114.59,163.21,166.55,126.07,0,0,0,0,3.03,41.69
96,1971,7,Maharashtra,Thane,86.09,108.58,162.7,186.98,123.06,0.16,0,0,0,32.35,57.46
96,1972,7,Maharashtra,Thane,94.56,109.59,163.07,180.29,184.69,25.58,0,0,4.09,51.82,55.76
96,1973,7,Maharashtra,Thane,99.64,113.19,158.9,184.18,201.25,0,0,0,0,23.43,52.95
96,1974,7,Maharashtra,Thane,94.92,118.24,162.31,185.78,121.07,0,0,0,0,0,39.72
96,1975,7,Maharashtra,Thane,87.36,113.12,160.46,192.96,180.01,0,0,0,0,0,38.57
96,1976,7,Maharashtra,Thane,86.69,111.48,165.49,182.22,194.36,0,0,0,0,46.39,52.59
96,1977,7,Maharashtra,Thane,93.74,112.92,152.41,175.77,169.03,0,0,0,0,27.26,32.35
96,1978,7,Maharashtra,Thane,90.2,103.04,140.06,156.03,172.24,0,0,0,0,15.09,35.1
96,1979,7,Maharashtra,Thane,90.28,111.87,160.12,184.34,201.73,0.98,0,0,0,36.84,20.27
96,1980,7,Maharashtra,Thane,88.81,111.31,159.69,175.57,194.73,0,0,0,0.12,40.75,68.86
