"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN KHARIF CONSUMPTION (tons)","NITROGEN RABI CONSUMPTION (tons)","PHOSPHATE KHARIF CONSUMPTION (tons)","PHOSPHATE RABI CONSUMPTION (tons)","POTASH KHARIF CONSUMPTION (tons)","POTASH RABI CONSUMPTION (tons)","TOTAL KHARIF CONSUMPTION (tons)","TOTAL RABI CONSUMPTION (tons)"
"95","1990","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"95","1991","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"95","1992","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"95","1993","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"95","1994","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"95","1995","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"95","1996","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"95","1997","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"95","1998","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"95","1999","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"95","2000","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"95","2001","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"95","2002","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"95","2003","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"95","2004","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"95","2005","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"95","2006","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"95","2007","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"95","2008","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"95","2011","7","Maharashtra","Bombay","16627.0","15321.0","4516.0","5988.0","658.0","860.0","21801.0","22169.0"
"96","1990","7","Maharashtra","Thane","5461.0","2963.0","1070.0","763.0","1146.0","1048.0","7677.0","4774.0"
"96","1991","7","Maharashtra","Thane","5747.0","4029.0","922.0","1300.0","1430.0","1298.0","8099.0","6627.0"
"96","1992","7","Maharashtra","Thane","5747.0","4029.0","922.0","1300.0","1430.0","1298.0","8099.0","6627.0"
"96","1993","7","Maharashtra","Thane","7068.0","2971.0","370.0","605.0","284.0","471.0","7722.0","4047.0"
"96","1994","7","Maharashtra","Thane","6664.0","2905.0","560.0","1177.0","502.0","403.0","7726.0","4485.0"
"96","1995","7","Maharashtra","Thane","7544.0","2754.0","927.0","698.0","379.0","1010.0","8850.0","4462.0"
"96","1996","7","Maharashtra","Thane","9149.0","3482.0","606.0","1888.0","376.0","819.0","10131.0","6189.0"
"96","1997","7","Maharashtra","Thane","8874.0","3754.0","1048.0","1231.0","1365.0","646.0","11287.0","5631.0"
"96","1998","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"96","1999","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"96","2000","7","Maharashtra","Thane","8976.0","4467.0","803.0","1272.0","497.0","894.0","10276.0","6633.0"
"96","2001","7","Maharashtra","Thane","9102.0","4840.0","842.0","1311.0","479.0","998.0","10423.0","7149.0"
"96","2002","7","Maharashtra","Thane","9349.0","4425.0","756.0","1434.0","518.0","1264.0","10623.0","7123.0"
"96","2003","7","Maharashtra","Thane","9291.0","4922.0","999.0","1685.0","816.0","1194.0","11106.0","7801.0"
"96","2004","7","Maharashtra","Thane","9982.0","5008.0","967.0","1303.0","778.0","1286.0","11727.0","7597.0"
"96","2005","7","Maharashtra","Thane","11192.0","5350.0","1178.0","1377.0","791.0","1560.0","13161.0","8287.0"
"96","2006","7","Maharashtra","Thane","13089.0","5876.0","1641.0","1310.0","979.0","1639.0","15709.0","8825.0"
"96","2007","7","Maharashtra","Thane","14335.0","6216.0","1517.0","1141.0","1190.0","1667.0","17042.0","9024.0"
"96","2008","7","Maharashtra","Thane","12631.0","5467.0","1016.0","1043.0","1004.0","862.0","14651.0","7372.0"
"96","2009","7","Maharashtra","Thane","13042.0","4821.0","2260.0","1086.0","863.0","920.0","16165.0","6827.0"
"96","2010","7","Maharashtra","Thane","12052.0","3209.0","1576.0","1193.0","1197.0","738.0","14825.0","5140.0"
"96","2011","7","Maharashtra","Thane","10854.0","4390.0","1003.0","1465.0","774.0","887.0","12631.0","6742.0"
"96","2012","7","Maharashtra","Thane","12550.0","4172.0","1140.0","1078.0","975.0","936.0","14665.0","6186.0"
"96","2013","7","Maharashtra","Thane","12547.0","4886.0","1352.0","1642.0","889.0","1223.0","14788.0","7751.0"
"96","2014","7","Maharashtra","Thane","13026.0","5906.0","959.0","1528.0","861.0","1255.0","14846.0","8689.0"
"96","2015","7","Maharashtra","Thane","13658.0","5233.0","894.0","1686.0","656.0","1187.0","15208.0","8106.0"
"96","2016","7","Maharashtra","Thane","11738.0","4714.0","880.0","1684.0","605.0","1319.0","13224.0","7717.0"
"96","2017","7","Maharashtra","Thane","12011.0","4551.0","804.0","1806.0","656.0","1365.0","13471.0","7722.0"
"97","1990","7","Maharashtra","Raigad","4639.0","4242.0","610.0","1862.0","808.0","1706.0","6057.0","7810.0"
"97","1991","7","Maharashtra","Raigad","8381.0","4125.0","3107.0","1842.0","1259.0","1552.0","12747.0","7519.0"
"97","1992","7","Maharashtra","Raigad","8381.0","4125.0","3107.0","1842.0","1259.0","1552.0","12747.0","7519.0"
"97","1993","7","Maharashtra","Raigad","7795.0","3611.0","362.0","1563.0","159.0","1135.0","8316.0","6309.0"
"97","1994","7","Maharashtra","Raigad","5243.0","3206.0","344.0","1092.0","152.0","500.0","5739.0","4798.0"
"97","1995","7","Maharashtra","Raigad","6289.0","1242.0","259.0","556.0","119.0","306.0","6667.0","2104.0"
"97","1996","7","Maharashtra","Raigad","7128.0","4380.0","427.0","1916.0","121.0","468.0","7676.0","6764.0"
"97","1997","7","Maharashtra","Raigad","6922.0","5913.0","661.0","2717.0","1574.0","1128.0","9157.0","9758.0"
"97","1998","7","Maharashtra","Raigad","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"97","1999","7","Maharashtra","Raigad","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"97","2000","7","Maharashtra","Raigad","7847.0","3466.0","1026.0","1510.0","254.0","1243.0","9127.0","6219.0"
"97","2001","7","Maharashtra","Raigad","7958.0","3604.0","1075.0","1505.0","245.0","814.0","9278.0","5923.0"
"97","2002","7","Maharashtra","Raigad","7822.0","3486.0","536.0","1626.0","323.0","354.0","8681.0","5466.0"
"97","2003","7","Maharashtra","Raigad","8361.0","2600.0","343.0","478.0","589.0","363.0","9293.0","3441.0"
"97","2004","7","Maharashtra","Raigad","8911.0","2689.0","439.0","578.0","347.0","374.0","9697.0","3641.0"
"97","2005","7","Maharashtra","Raigad","8446.0","2651.0","574.0","507.0","314.0","390.0","9334.0","3548.0"
"97","2006","7","Maharashtra","Raigad","9877.0","2912.0","799.0","482.0","389.0","410.0","11065.0","3804.0"
"97","2007","7","Maharashtra","Raigad","10776.0","2474.0","739.0","1159.0","475.0","1005.0","11990.0","4638.0"
"97","2008","7","Maharashtra","Raigad","9161.0","2189.0","1621.0","843.0","478.0","518.0","11260.0","3550.0"
