"Dist Code","Year","State Code","State Name","Dist Name","DIESEL PUMPSETS NUMBER (1000 Number)","DIESEL PUMPSETS DENSITY (Per 1000 ha)","ELECTRIC PUMPSETS NUMBER (1000 Number)","ELECTRIC PUMPSETS DENSITY (Per 1000 ha)","POWER TILLER NUMBER (1000 Number)","POWER TILLER DENSITY (Per 1000 ha)","TRACTORS NUMBER (1000 Number)","TRACTORS DENSITY (Per 1000 ha)"
"95","1966","7","Maharashtra","Bombay","0.03","47.14","0.0","2.86","-1.0","-1.0","0.0","1.43"
"95","1972","7","Maharashtra","Bombay","0.02","28.99","0.0","0.0","0.0","0.0","0.0","0.0"
"95","1978","7","Maharashtra","Bombay","0.0","0.0","0.0","0.0","-1.0","-1.0","0.0","0.0"
"95","1982","7","Maharashtra","Bombay","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"95","1987","7","Maharashtra","Bombay","0.01","90.91","0.01","90.91","0.0","0.0","0.0","0.0"
"95","1992","7","Maharashtra","Bombay","0.01","40.0","0.0","0.0","0.0","0.0","0.02","80.0"
"95","1997","7","Maharashtra","Bombay","0.02","-1.0","0.01","-1.0","0.0","-1.0","0.01","-1.0"
"95","2003","7","Maharashtra","Bombay","0.0","-1.0","0.0","-1.0","0.0","-1.0","0.0","-1.0"
"96","1966","7","Maharashtra","Thane","0.84","28.58","0.5","16.92","-1.0","-1.0","0.03","1.06"
"96","1972","7","Maharashtra","Thane","0.76","32.67","1.38","59.33","0.03","1.29","0.07","3.01"
"96","1978","7","Maharashtra","Thane","0.46","17.5","2.49","94.04","-1.0","-1.0","0.12","4.56"
"96","1982","7","Maharashtra","Thane","0.47","17.95","2.83","108.06","0.05","1.91","0.11","4.2"
"96","1987","7","Maharashtra","Thane","0.37","12.11","1.8","58.92","0.04","1.31","0.09","2.95"
"96","1992","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"96","1997","7","Maharashtra","Thane","1.5","40.99","2.14","58.49","0.02","0.55","0.37","10.11"
"96","2003","7","Maharashtra","Thane","3.61","147.59","4.67","190.92","1.69","69.09","0.7","28.62"
"97","1966","7","Maharashtra","Raigad","0.44","19.76","0.6","27.44","-1.0","-1.0","0.02","0.82"
"97","1972","7","Maharashtra","Raigad","0.65","34.3","1.84","97.1","0.06","3.17","0.02","1.06"
"97","1978","7","Maharashtra","Raigad","0.3","15.17","2.73","139.38","-1.0","-1.0","0.01","0.46"
"97","1982","7","Maharashtra","Raigad","0.19","10.2","2.29","122.92","0.06","3.22","0.01","0.54"
"97","1987","7","Maharashtra","Raigad","0.44","21.01","1.15","54.92","0.0","0.0","0.0","0.0"
"97","1992","7","Maharashtra","Raigad","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"97","1997","7","Maharashtra","Raigad","0.6","31.58","0.9","47.37","0.01","0.53","0.07","3.68"
"97","2003","7","Maharashtra","Raigad","2.59","137.4","9.96","528.38","0.17","9.02","0.1","5.31"
"98","1966","7","Maharashtra","Ratnagiri","0.61","17.12","0.21","6.02","-1.0","-1.0","0.01","0.37"
"98","1972","7","Maharashtra","Ratnagiri","0.53","15.46","0.58","16.92","0.0","0.0","0.01","0.29"
"98","1978","7","Maharashtra","Ratnagiri","0.57","15.89","2.01","56.5","-1.0","-1.0","0.03","0.7"
"98","1982","7","Maharashtra","Ratnagiri","0.51","14.36","1.89","53.22","0.0","0.0","0.02","0.56"
"98","1987","7","Maharashtra","Ratnagiri","0.94","23.99","2.1","53.6","0.0","0.0","0.0","0.0"
"98","1992","7","Maharashtra","Ratnagiri","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"98","1997","7","Maharashtra","Ratnagiri","2.02","55.57","6.3","173.31","0.0","0.0","0.04","1.1"
"98","2003","7","Maharashtra","Ratnagiri","2.57","66.77","7.29","189.4","0.2","5.2","0.06","1.56"
"99","1966","7","Maharashtra","Nasik","15.89","173.94","2.79","30.48","-1.0","-1.0","0.16","1.7"
"99","1972","7","Maharashtra","Nasik","20.69","274.69","12.33","163.7","0.01","0.13","0.46","6.11"
"99","1978","7","Maharashtra","Nasik","15.08","169.56","34.16","384.0","-1.0","-1.0","1.55","17.45"
"99","1982","7","Maharashtra","Nasik","6.85","80.9","34.67","409.47","0.06","0.71","3.3","38.97"
"99","1987","7","Maharashtra","Nasik","9.06","105.14","43.58","505.74","1.94","22.51","4.03","46.77"
"99","1992","7","Maharashtra","Nasik","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"99","1997","7","Maharashtra","Nasik","5.78","67.78","66.44","779.08","0.3","3.52","10.81","126.76"
"99","2003","7","Maharashtra","Nasik","4.91","56.13","102.89","1176.15","1.27","14.52","16.61","189.87"
"100","1966","7","Maharashtra","Dhule","13.34","194.97","0.19","2.83","-1.0","-1.0","0.25","3.71"
"100","1972","7","Maharashtra","Dhule","11.16","172.44","6.65","102.75","0.02","0.31","0.29","4.48"
"100","1978","7","Maharashtra","Dhule","7.19","101.99","16.91","239.84","-1.0","-1.0","0.83","11.73"
"100","1982","7","Maharashtra","Dhule","5.9","86.22","15.91","232.5","0.02","0.29","1.25","18.27"
"100","1987","7","Maharashtra","Dhule","2.45","33.93","22.02","304.94","1.48","20.5","2.23","30.88"
"100","1992","7","Maharashtra","Dhule","1.92","26.12","31.11","423.27","0.1","1.36","2.82","38.37"
"100","1997","7","Maharashtra","Dhule","1.49","21.15","33.04","469.05","0.03","0.43","2.79","39.61"
"100","2003","7","Maharashtra","Dhule","2.42","33.09","39.19","535.89","0.46","6.29","3.25","44.44"
"101","1966","7","Maharashtra","Jalgaon","10.83","134.59","2.58","32.03","-1.0","-1.0","0.26","3.28"
"101","1972","7","Maharashtra","Jalgaon","5.62","71.28","17.27","219.05","0.03","0.38","0.82","10.4"
"101","1978","7","Maharashtra","Jalgaon","4.59","56.68","35.49","437.82","-1.0","-1.0","1.37","16.84"
"101","1982","7","Maharashtra","Jalgaon","3.98","47.68","28.28","338.8","0.03","0.36","2.01","24.08"
"101","1987","7","Maharashtra","Jalgaon","6.1","72.36","32.71","388.02","1.1","13.05","2.49","29.54"
"101","1992","7","Maharashtra","Jalgaon","1.27","15.4","34.23","415.16","0.06","0.73","3.49","42.33"
"101","1997","7","Maharashtra","Jalgaon","3.75","46.03","40.45","496.5","0.1","1.23","5.02","61.62"
"101","2003","7","Maharashtra","Jalgaon","2.96","34.77","33.97","398.99","1.11","13.04","6.45","75.76"
"102","1966","7","Maharashtra","Ahmednagar","22.0","176.67","3.97","31.88","-1.0","-1.0","0.26","2.06"
"102","1972","7","Maharashtra","Ahmednagar","22.9","196.62","24.19","207.69","0.01","0.09","0.44","3.78"
"102","1978","7","Maharashtra","Ahmednagar","17.3","142.4","32.85","270.37","-1.0","-1.0","1.7","13.98"
"102","1982","7","Maharashtra","Ahmednagar","16.12","142.82","60.77","538.41","0.08","0.71","3.17","28.09"
"102","1987","7","Maharashtra","Ahmednagar","13.76","117.02","72.89","619.87","1.41","11.99","3.73","31.72"
"102","1992","7","Maharashtra","Ahmednagar","7.4","63.23","87.51","747.69","0.09","0.77","5.33","45.54"
"102","1997","7","Maharashtra","Ahmednagar","9.19","79.59","90.5","783.82","0.06","0.52","11.65","100.9"
"102","2003","7","Maharashtra","Ahmednagar","5.38","49.33","100.06","917.39","0.5","4.58","12.91","118.36"
"103","1966","7","Maharashtra","Pune","9.37","90.68","3.13","30.35","-1.0","-1.0","0.19","1.83"
"103","1972","7","Maharashtra","Pune","11.06","128.13","8.18","94.76","0.01","0.12","0.29","3.36"
"103","1978","7","Maharashtra","Pune","14.9","148.81","19.78","197.61","-1.0","-1.0","0.9","8.96"
"103","1982","7","Maharashtra","Pune","13.86","134.45","23.24","225.43","0.04","0.39","1.04","10.09"
"103","1987","7","Maharashtra","Pune","14.6","139.73","22.46","214.95","0.81","7.75","2.39","22.87"
"103","1992","7","Maharashtra","Pune","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"103","1997","7","Maharashtra","Pune","10.24","105.07","51.03","523.6","0.23","2.36","7.7","79.01"
"103","2003","7","Maharashtra","Pune","10.78","113.94","72.08","761.86","0.58","6.13","10.55","111.51"
"104","1966","7","Maharashtra","Satara","6.94","99.74","2.09","30.01","-1.0","-1.0","0.21","2.97"
"104","1972","7","Maharashtra","Satara","7.99","166.95","4.65","97.16","0.01","0.21","0.47","9.82"
"104","1978","7","Maharashtra","Satara","10.67","182.08","17.59","300.15","-1.0","-1.0","0.77","13.07"
"104","1982","7","Maharashtra","Satara","9.2","161.83","17.59","309.41","0.01","0.18","0.95","16.71"
"104","1987","7","Maharashtra","Satara","13.2","215.86","21.5","351.59","0.33","5.4","2.39","39.08"
"104","1992","7","Maharashtra","Satara","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"104","1997","7","Maharashtra","Satara","7.8","134.72","40.72","703.28","0.24","4.15","5.62","97.06"
"104","2003","7","Maharashtra","Satara","8.15","155.42","32.01","610.41","0.46","8.77","6.48","123.57"
"105","1966","7","Maharashtra","Sangli","8.9","138.25","3.14","48.78","-1.0","-1.0","0.17","2.69"
"105","1972","7","Maharashtra","Sangli","12.29","264.36","13.87","298.34","0.01","0.22","0.17","3.66"
"105","1978","7","Maharashtra","Sangli","11.16","181.2","24.6","399.25","-1.0","-1.0","0.56","9.14"
"105","1982","7","Maharashtra","Sangli","7.64","121.58","19.54","310.95","0.03","0.48","1.14","18.14"
"105","1987","7","Maharashtra","Sangli","7.68","132.92","26.67","461.58","0.61","10.56","1.89","32.71"
"105","1992","7","Maharashtra","Sangli","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"105","1997","7","Maharashtra","Sangli","4.2","72.05","30.52","523.59","0.21","3.6","3.71","63.65"
"105","2003","7","Maharashtra","Sangli","6.29","107.71","25.0","428.08","0.89","15.24","2.96","50.68"
"106","1966","7","Maharashtra","Solapur","12.14","103.85","0.92","7.86","-1.0","-1.0","0.23","1.96"
"106","1972","7","Maharashtra","Solapur","16.48","260.27","6.37","100.6","0.01","0.16","0.94","14.85"
"106","1978","7","Maharashtra","Solapur","19.68","173.03","23.02","202.41","-1.0","-1.0","0.43","3.77"
"106","1982","7","Maharashtra","Solapur","20.58","187.16","34.16","310.66","0.02","0.18","0.7","6.37"
"106","1987","7","Maharashtra","Solapur","10.79","100.65","41.19","384.24","0.25","2.33","0.97","9.05"
"106","1992","7","Maharashtra","Solapur","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"106","1997","7","Maharashtra","Solapur","8.81","83.44","52.37","496.02","0.11","1.04","3.48","32.96"
"106","2003","7","Maharashtra","Solapur","7.36","72.19","84.16","825.42","0.35","3.43","5.23","51.29"
