state_number,crop_name,RMS_RandomForest,RandomForest,RMS_LinearRegression,LinearRegression
96,RiceYD,470.3099611,2360.1905,510.2146912,[2286.70273139]
96,WheatYD,1408.626641,199.6666667,1688.665154,[-586.83247771]
96,KharifSorghumYD,0,0,0,[0.]
96,RabiSorghumYD,0,0,0,[0.]
96,PEARL_MILLET_YIELD,0,0,0,[0.]
96,MAIZE_YIELD,1466.959716,940,884.2891818,[2186.16441206]
96,FINGER_MILLET_YIELD,263.8509528,739.2224,182.7432936,[663.77428615]
96,BARLEY YIELD,0,0,0,[0.]
96,CHICKPEA_YIELD,182.602442,978.3839,319.6808333,[752.40113092]
96,PIGEONPEA_YIELD,206.7435254,583.5549,473.9462971,[1031.76903897]
96,MINOR PULSES AREA (1000 ha),1.522927322,11.6476,1.079842614,[11.17983248]
96,MINOR_PULSES_PRODUCTION,0.818306905,7.3089,1.208504221,[7.87964045]
96,MINOR_PULSES_YIELD,58.29620652,594.5032,81.03660824,[745.42563388]
96,GROUNDNUT_YIELD,404.730824,1105.15,456.456123,[2462.80296423]
96,SESAMUM_YIELD,233.5624931,314.4736,228.1976546,[296.11708588]
96,RAPESEEDandMUSTARD_YIELD,308.6289272,0,326.2498053,[-18.91983879]
96,SAFFLOWER_YIELD,0,0,0,[0.]
96,CASTOR_YIELD,0,0,0,[0.]
96,LINSEED_YIELD,0,0,0,[0.]
96,SUNFLOWER_YIELD,419.8377726,72.00036,424.8895329,[66.667]
96,SOYABEAN_YIELD,0,0,0,[0.]
96,OILSEEDS_YIELD,353.9839403,434.8806,383.2110206,[421.94047298]
96,SUGARCANE_YIELD,0,0,0,[0.]
96,COTTON_YIELD,0,0,0,[0.]
96,FRUITS_AREA,4.550000036,1.064565833,5.241828415,[6.45199332]
96,VEGETABLES_AREA,0.900697915,0.200518333,3.434220309,[5.82154435]
96,FRUITSandVEGETABLES_AREA,5.49455315,1.2047475,6.873681854,[8.11449081]
96,POTATOES_AREA ,0,0,0,[0.]
96,ONION_AREA,0,0,0,[0.]
96,FODDER_AREA,0,0,0,[0.]
